GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
demo,com.example.demo.dao,SegmentDAO,46,6,0,0,12,3,4,1,4,1
demo,com.example.demo.dao,ShoppingCartItemDAO,68,0,0,0,19,0,6,0,6,0
demo,com.example.demo.dao,SegmentDiscountDAO,46,6,0,0,12,3,4,1,4,1
demo,com.example.demo.dao,CustomerDAO,52,0,0,0,15,0,5,0,5,0
demo,com.example.demo.helper,Constant,3,0,0,0,1,0,1,0,1,0
demo,com.example.demo.helper,Constant.EMPLOYEE_SEGMENT,3,0,0,0,1,0,1,0,1,0
demo,com.example.demo.helper,Constant.SHOPPING_ITEM_GROUP,3,0,0,0,1,0,1,0,1,0
demo,com.example.demo.helper,BillHelper,26,99,9,5,6,23,6,7,0,6
demo,com.example.demo.service,ShoppingCartItemService,0,24,0,0,0,8,0,2,0,2
demo,com.example.demo.service,CustomerService,15,10,0,0,5,4,3,2,3,2
demo,com.example.demo.entity,Customer,49,21,0,0,11,9,7,4,7,4
demo,com.example.demo.entity,Segment,52,3,0,0,14,2,8,1,8,1
demo,com.example.demo.entity,ShoppingCartItem,51,34,0,0,10,14,6,7,6,7
demo,com.example.demo.entity,SegmentDiscount,52,3,0,0,14,2,8,1,8,1
demo,com.example.demo.rest,HomeRestController,14,9,0,0,3,4,2,1,2,1
demo,com.example.demo,DemoApplication,5,3,0,0,2,1,1,1,1,1
demo,com.example.demo.dto,BillDTO,52,21,0,0,13,8,8,3,8,3
